year,school,course_name,course_code,course_description,,cca_name,cca_description
,,,,,,Rotaract Club,"The Rotaract Club of Ngee Ann Polytechnic is an institution-based service club dedicated towards community service, international understanding, and professional and personal development. The two guiding principles of the club are: ’Service Above Self' and 'Fellowship Through Service’. Rotaractors can expect a variety of activities ranging from fellowship camps to serving the elderly. Contact us at: cca_rotaract@connect.np.edu.sg"
,,,,,,Astronomy,"With the growing interest in the sciences, the club doesn’t limit its audience to NP students. It also promotes astronomy by teaching astronomy to members of the public. As part of club activities, they venture overseas and organise activities offshore to keep away from city-light interference. Contact us at: cca_astronomy@connect.np.edu.sg Follow us on Instagram:  np_astro"
,,,,,,Board Games Club,"The club aims to promote board games as a recreational activity that boosts social communication and strategic thinking skills. Club sessions are held twice a week, where members play a wide range of board games. The club tries to purchase new games regularly to give members a better gaming experience. Contact us at: cca_bgames@connect.np.edu.sg Follow us on Instagram: np_boardgamesclub"
,,,,,,Buddhist Society,"The society strives to introduce Dhamma to NP students in a creative and simple way. The society also provides members with skills to help in daily life, such as the management of stress. The society is open to students of all religion who want to know more about Buddhism Contact us at: cca_buddhist@connect.np.edu.sg Follow us on Instagram: np_buddhistsociety"
,,,,,,Campus Crusade for Christ,The Ngee Ann Campus Crusade for Christ are a vibrant and cheerful group of students who hope to glorify God and help lead in the fulfilment of the Great Commission in every generation. The club aims to launch spiritual student-led movements through Christ-centred multiplying disciples. Contact us at: cca_crusade@connect.np.edu.sg Follow us on Instagram: np_crusade
,,,,,,Catholic Youth Apostolate,The Catholic Youth Apostolate is a community of Catholics and non-Catholics who journey together through weekly sessions and outings outside of school. The club aims to grow together in faith and to support one another through God and each other. Students of all religion are welcome. Contact us at: cca_catholic@connect.np.edu.sg Follow us on Instagram: ngeeanncya
,,,,,,CCA Champions ,"The CCA Champions Club (CCA Champs) embraces the spirit of holistic education through active participation in CCAs for a balanced and exciting student life. They provide public relations and marketing assistance for CCAs, as well as help manage combined CCA events. The club also works closely with the Office of Student Development (SDO) to run NP level events. Contact us at: cca_champions@connect.np.edu.sg Follow us on Instagram: np_champs"
,,,,,,Chess,"The NP Chess Club began in International Chess and Chinese Chess, eventually extending into Weiqi. Besides weekly training sessions, the club also organises various camps for training, and fun and interaction, as well as the annual NP chess showdown.  Contact us at: cca_chess@connect.np.edu.sg Follow us on Instagram: npchessclub"
,,,,,,Christian Fellowship,"By changing one’s perspectives, purposes and intentions of playing the paper chase, the fellowship hopes to provide students with opportunities to learn more about God and His love, as well as get to know new friends. They also have combined poly Christian Fellowship gatherings and events. Contact us at: cca_fellowship@connect.np.edu.sg Follow us on Instagram: npchristianfellowshi"
,,,,,,Current Affairs,"The club aims to cultivate interest in current affairs among NP students, by providing a platform to discuss various local and global issues. The club also holds dialogue sessions with national, society and industry leaders, as well as friendly debates and sharing sessions between members. Contact us at: cca_caffairs@connect.np.edu.sg Follow us on Instagram: np_cac"
,,,,,,Lionhearters Club,"Club is an event based CCA that provides a way for tertiary students to be engaged in civil defence, emergency preparedness and humanitarian missions. Our 5-modular programme, also known as the Community Emergency Preparedness Programme (CEPP), is offered to the CD Lionhearters to equip them with the necessary skills to provide first level response to incidents within the campus grounds in case of an emergency. Students will also be given the opportunity to be involved in Emergency Preparedness Days and other community involvement programmes held at the heartlands. Contact us at:cca_lionhearter@connect.np.edu.sg Follow us on Instagram: nplionhearters"
,,,,,,Muslim Students Society,"Through Islamic and moral values, the society aims to develop young Muslim youths into dynamic, creative and visionary students. The society also organises activities, such as the Quran camp, night cycling, and an Overseas Service Learning Expedition. All students interested in finding out more about Islam are welcome to join"
,,,,,,Navigators,"The club aims to guide members in their journey towards being a student disciple of Christ, as well as realising their full potential and purpose in NP. Contact us at: cca_navigators@connect.np.edu.sg"
,,,,,,???Peer Helpers,"Peer helpers lend a listening ear and serve as an additional layer of care for students encountering difficulties in their lives. The Peer Helpers Programme recruits and trains students through workshops, camps and collaboration with other mental health agencies Follow us on Instagram ?at: @np_peerhelpers"
,,,,,,Radio Control,"The Radio Control Club is an avid group of remote control car hobbyists that aims to promote the art of ""drifting"" for all NP students. The club focuses on Scale 1/10 Drifting, which is quite a phenomenon all over the world, especially in countries like Japan, United States, Australia, and Malaysia.?"
,,,,,,Toastmasters,"The NP Student Toastmasters Club will help you build up your confidence in speaking to a crowd. The club engages in a litany of other events, including 'Speechcraft', an annual competition to determine NP’s best Year 1 speaker, and an annual International Speech and Table Topics Contest. Contact us at: cca_toastmasters@connect.np.edu.sg"
