JC,Arts,Science / IB,Subjects,DSA talent areas,CCA,Electives and programmes
Nanyang Junior College (NYJC),6,6,Ntu Molecular Biology,,Audio Visual Aid (Girls and Boys),
Nanyang Junior College (NYJC),6,6,Ntu Semiconductor Physics & Devices,,Debating and Public Speaking (Girls and Boys),
Nanyang Junior College (NYJC),6,6,,,Community Service (First Aid) (Girls and Boys),
Nanyang Junior College (NYJC),6,6,,,Photography (Girls and Boys),
Nanyang Junior College (NYJC),6,6,,,Science Society (Girls and Boys),
Nanyang Junior College (NYJC),6,6,,,"Chinese Language, Drama and Debating (Girls and Boys)",
Nanyang Junior College (NYJC),6,6,,,"Indian Language, Drama and Debating (Girls and Boys)",
Nanyang Junior College (NYJC),6,6,,,Community Service (Girls and Boys),
Nanyang Junior College (NYJC),6,6,,,Strategy Games (Girls and Boys),
Nanyang Junior College (NYJC),6,6,,,Student Leadership (Council) (Girls and Boys),
National Junior College (NJC),8,7,Chinese Language Syllabus B,Language Elective Programme - Tamil (TLEP) (Girls and Boys),Shooting (Girls and Boys),Language Elective Programme - Tamil
National Junior College (NJC),8,7,Biology,Chinese Drama (Girls and Boys),Badminton (Girls and Boys),
National Junior College (NJC),8,7,Chemistry,Chinese Orchestra (Girls and Boys),Basketball (Girls and Boys),
National Junior College (NJC),8,7,Chinese Language,Choir (Girls and Boys),Hockey (Girls and Boys),
National Junior College (NJC),8,7,Economics,Concert Band (Girls and Boys),Netball (Girls),
National Junior College (NJC),8,7,General Studies in Chinese,Contemporary Dance (Girls and Boys),Football (Boys),
National Junior College (NJC),8,7,Geography,English Drama (Girls and Boys),Table Tennis (Girls and Boys),
National Junior College (NJC),8,7,General Paper,Guitar Ensemble (Girls and Boys),Tennis (Girls and Boys),
National Junior College (NJC),8,7,History,Indian Dance (Girls and Boys),Taekwondo (Girls and Boys),
National Junior College (NJC),8,7,Literature in English,Science and Technology (Girls and Boys),Volleyball (Girls and Boys),
National Junior College (NJC),8,7,Mathematics,Badminton (Girls and Boys),Touch Rugby (Girls),
National Junior College (NJC),8,7,Malay Language,Basketball (Girls and Boys),Frisbee (Girls and Boys),
National Junior College (NJC),8,7,Physics,Football (Boys),Outdoor Adventure (Girls and Boys),
National Junior College (NJC),8,7,Project Work,Hockey (Girls and Boys),Chinese Orchestra (Girls and Boys),
National Junior College (NJC),8,7,Tamil Language,Netball (Girls),Choir (Girls and Boys),
National Junior College (NJC),8,7,Art,Shooting (Girls and Boys),Guitar Ensemble (Girls and Boys),
National Junior College (NJC),8,7,Chinese Language and Literature,Taekwondo (Girls and Boys),Harmonica Ensemble (Girls and Boys),
National Junior College (NJC),8,7,Further Mathematics,Volleyball (Girls and Boys),Modern Dance (Girls and Boys),
National Junior College (NJC),8,7,Malay Language and Literature,,English Drama (Girls and Boys),
National Junior College (NJC),8,7,Tamil Language and Literature,,Concert Band (Girls and Boys),
National Junior College (NJC),8,7,Smu Game Theory,,Pop and Jazz (Girls and Boys),
National Junior College (NJC),8,7,Ntu Molecular Biology,,Audio Visual Aid (Girls and Boys),
National Junior College (NJC),8,7,Ntu Semiconductor Physics & Devices,,Debating and Public Speaking (Girls and Boys),
National Junior College (NJC),8,7,,,Community Service (First Aid) (Girls and Boys),
National Junior College (NJC),8,7,,,Photography (Girls and Boys),
National Junior College (NJC),8,7,,,Science Society (Girls and Boys),
National Junior College (NJC),8,7,,,"Chinese Language, Drama and Debating (Girls and Boys)",
National Junior College (NJC),8,7,,,"Indian Language, Drama and Debating (Girls and Boys)",
National Junior College (NJC),8,7,,,Community Service (Girls and Boys),
National Junior College (NJC),8,7,,,Strategy Games (Girls and Boys),
National Junior College (NJC),8,7,,,Student Leadership (Council) (Girls and Boys),
Raffles Institution (RI),5,4,Chinese Language Syllabus B,Language Elective Programme - Tamil (TLEP) (Girls and Boys),Shooting (Girls and Boys),Language Elective Programme - Tamil
Raffles Institution (RI),5,4,Biology,Chinese Drama (Girls and Boys),Badminton (Girls and Boys),
Raffles Institution (RI),5,4,Chemistry,Chinese Orchestra (Girls and Boys),Basketball (Girls and Boys),
Raffles Institution (RI),5,4,Chinese Language,Choir (Girls and Boys),Hockey (Girls and Boys),
Raffles Institution (RI),5,4,Economics,Concert Band (Girls and Boys),Netball (Girls),
Raffles Institution (RI),5,4,General Studies in Chinese,Contemporary Dance (Girls and Boys),Football (Boys),
Raffles Institution (RI),5,4,Geography,English Drama (Girls and Boys),Table Tennis (Girls and Boys),
Raffles Institution (RI),5,4,General Paper,Guitar Ensemble (Girls and Boys),Tennis (Girls and Boys),
Raffles Institution (RI),5,4,History,Indian Dance (Girls and Boys),Taekwondo (Girls and Boys),
Raffles Institution (RI),5,4,Literature in English,Science and Technology (Girls and Boys),Volleyball (Girls and Boys),
Raffles Institution (RI),5,4,Mathematics,Badminton (Girls and Boys),Touch Rugby (Girls),
Raffles Institution (RI),5,4,Malay Language,Basketball (Girls and Boys),Frisbee (Girls and Boys),
Raffles Institution (RI),5,4,Physics,Football (Boys),Outdoor Adventure (Girls and Boys),
Raffles Institution (RI),5,4,Project Work,Hockey (Girls and Boys),Chinese Orchestra (Girls and Boys),
Raffles Institution (RI),5,4,Tamil Language,Netball (Girls),Choir (Girls and Boys),
Raffles Institution (RI),5,4,Art,Shooting (Girls and Boys),Guitar Ensemble (Girls and Boys),
Raffles Institution (RI),5,4,Chinese Language and Literature,Taekwondo (Girls and Boys),Harmonica Ensemble (Girls and Boys),
Raffles Institution (RI),5,4,Further Mathematics,Volleyball (Girls and Boys),Modern Dance (Girls and Boys),
Raffles Institution (RI),5,4,Malay Language and Literature,,English Drama (Girls and Boys),
Raffles Institution (RI),5,4,Tamil Language and Literature,,Concert Band (Girls and Boys),
Raffles Institution (RI),5,4,Smu Game Theory,,Pop and Jazz (Girls and Boys),
Raffles Institution (RI),5,4,Ntu Molecular Biology,,Audio Visual Aid (Girls and Boys),
Raffles Institution (RI),5,4,Ntu Semiconductor Physics & Devices,,Debating and Public Speaking (Girls and Boys),
Raffles Institution (RI),5,4,,,Community Service (First Aid) (Girls and Boys),
Raffles Institution (RI),5,4,,,Photography (Girls and Boys),
Raffles Institution (RI),5,4,,,Science Society (Girls and Boys),
Raffles Institution (RI),5,4,,,"Chinese Language, Drama and Debating (Girls and Boys)",
Raffles Institution (RI),5,4,,,"Indian Language, Drama and Debating (Girls and Boys)",
Raffles Institution (RI),5,4,,,Community Service (Girls and Boys),
Raffles Institution (RI),5,4,,,Strategy Games (Girls and Boys),
Raffles Institution (RI),5,4,,,Student Leadership (Council) (Girls and Boys),
River Valley Higher School (RVHS),9,8,Chinese Language Syllabus B,Language Elective Programme - Tamil (TLEP) (Girls and Boys),Shooting (Girls and Boys),Language Elective Programme - Tamil
River Valley Higher School (RVHS),9,8,Biology,Chinese Drama (Girls and Boys),Badminton (Girls and Boys),
River Valley Higher School (RVHS),9,8,Chemistry,Chinese Orchestra (Girls and Boys),Basketball (Girls and Boys),
River Valley Higher School (RVHS),9,8,Chinese Language,Choir (Girls and Boys),Hockey (Girls and Boys),
River Valley Higher School (RVHS),9,8,Economics,Concert Band (Girls and Boys),Netball (Girls),
River Valley Higher School (RVHS),9,8,General Studies in Chinese,Contemporary Dance (Girls and Boys),Football (Boys),
River Valley Higher School (RVHS),9,8,Geography,English Drama (Girls and Boys),Table Tennis (Girls and Boys),
River Valley Higher School (RVHS),9,8,General Paper,Guitar Ensemble (Girls and Boys),Tennis (Girls and Boys),
River Valley Higher School (RVHS),9,8,History,Indian Dance (Girls and Boys),Taekwondo (Girls and Boys),
River Valley Higher School (RVHS),9,8,Literature in English,Science and Technology (Girls and Boys),Volleyball (Girls and Boys),
River Valley Higher School (RVHS),9,8,Mathematics,Badminton (Girls and Boys),Touch Rugby (Girls),
River Valley Higher School (RVHS),9,8,Malay Language,Basketball (Girls and Boys),Frisbee (Girls and Boys),
River Valley Higher School (RVHS),9,8,Physics,Football (Boys),Outdoor Adventure (Girls and Boys),
River Valley Higher School (RVHS),9,8,Project Work,Hockey (Girls and Boys),Chinese Orchestra (Girls and Boys),
River Valley Higher School (RVHS),9,8,Tamil Language,Netball (Girls),Choir (Girls and Boys),
River Valley Higher School (RVHS),9,8,Art,Shooting (Girls and Boys),Guitar Ensemble (Girls and Boys),
River Valley Higher School (RVHS),9,8,Chinese Language and Literature,Taekwondo (Girls and Boys),Harmonica Ensemble (Girls and Boys),
River Valley Higher School (RVHS),9,8,Further Mathematics,Volleyball (Girls and Boys),Modern Dance (Girls and Boys),
River Valley Higher School (RVHS),9,8,Malay Language and Literature,,English Drama (Girls and Boys),
River Valley Higher School (RVHS),9,8,Tamil Language and Literature,,Concert Band (Girls and Boys),
River Valley Higher School (RVHS),9,8,Smu Game Theory,,Pop and Jazz (Girls and Boys),
River Valley Higher School (RVHS),9,8,Ntu Molecular Biology,,Audio Visual Aid (Girls and Boys),
River Valley Higher School (RVHS),9,8,Ntu Semiconductor Physics & Devices,,Debating and Public Speaking (Girls and Boys),
River Valley Higher School (RVHS),9,8,,,Community Service (First Aid) (Girls and Boys),
River Valley Higher School (RVHS),9,8,,,Photography (Girls and Boys),
River Valley Higher School (RVHS),9,8,,,Science Society (Girls and Boys),
River Valley Higher School (RVHS),9,8,,,"Chinese Language, Drama and Debating (Girls and Boys)",
River Valley Higher School (RVHS),9,8,,,"Indian Language, Drama and Debating (Girls and Boys)",
River Valley Higher School (RVHS),9,8,,,Community Service (Girls and Boys),
River Valley Higher School (RVHS),9,8,,,Strategy Games (Girls and Boys),
River Valley Higher School (RVHS),9,8,,,Student Leadership (Council) (Girls and Boys),
St. Andrew’s Junior College (SAJC),11,10,Chinese Language Syllabus B,Language Elective Programme - Tamil (TLEP) (Girls and Boys),Shooting (Girls and Boys),Language Elective Programme - Tamil
St. Andrew’s Junior College (SAJC),11,10,Biology,Chinese Drama (Girls and Boys),Badminton (Girls and Boys),
St. Andrew’s Junior College (SAJC),11,10,Chemistry,Chinese Orchestra (Girls and Boys),Basketball (Girls and Boys),
St. Andrew’s Junior College (SAJC),11,10,Chinese Language,Choir (Girls and Boys),Hockey (Girls and Boys),
St. Andrew’s Junior College (SAJC),11,10,Economics,Concert Band (Girls and Boys),Netball (Girls),
St. Andrew’s Junior College (SAJC),11,10,General Studies in Chinese,Contemporary Dance (Girls and Boys),Football (Boys),
St. Andrew’s Junior College (SAJC),11,10,Geography,English Drama (Girls and Boys),Table Tennis (Girls and Boys),
St. Andrew’s Junior College (SAJC),11,10,General Paper,Guitar Ensemble (Girls and Boys),Tennis (Girls and Boys),
St. Andrew’s Junior College (SAJC),11,10,History,Indian Dance (Girls and Boys),Taekwondo (Girls and Boys),
St. Andrew’s Junior College (SAJC),11,10,Literature in English,Science and Technology (Girls and Boys),Volleyball (Girls and Boys),
St. Andrew’s Junior College (SAJC),11,10,Mathematics,Badminton (Girls and Boys),Touch Rugby (Girls),
St. Andrew’s Junior College (SAJC),11,10,Malay Language,Basketball (Girls and Boys),Frisbee (Girls and Boys),
St. Andrew’s Junior College (SAJC),11,10,Physics,Football (Boys),Outdoor Adventure (Girls and Boys),
St. Andrew’s Junior College (SAJC),11,10,Project Work,Hockey (Girls and Boys),Chinese Orchestra (Girls and Boys),
St. Andrew’s Junior College (SAJC),11,10,Tamil Language,Netball (Girls),Choir (Girls and Boys),
St. Andrew’s Junior College (SAJC),11,10,Art,Shooting (Girls and Boys),Guitar Ensemble (Girls and Boys),
St. Andrew’s Junior College (SAJC),11,10,Chinese Language and Literature,Taekwondo (Girls and Boys),Harmonica Ensemble (Girls and Boys),
St. Andrew’s Junior College (SAJC),11,10,Further Mathematics,Volleyball (Girls and Boys),Modern Dance (Girls and Boys),
St. Andrew’s Junior College (SAJC),11,10,Malay Language and Literature,,English Drama (Girls and Boys),
St. Andrew’s Junior College (SAJC),11,10,Tamil Language and Literature,,Concert Band (Girls and Boys),
St. Andrew’s Junior College (SAJC),11,10,Smu Game Theory,,Pop and Jazz (Girls and Boys),
St. Andrew’s Junior College (SAJC),11,10,Ntu Molecular Biology,,Audio Visual Aid (Girls and Boys),
St. Andrew’s Junior College (SAJC),11,10,Ntu Semiconductor Physics & Devices,,Debating and Public Speaking (Girls and Boys),
St. Andrew’s Junior College (SAJC),11,10,,,Community Service (First Aid) (Girls and Boys),
St. Andrew’s Junior College (SAJC),11,10,,,Photography (Girls and Boys),
St. Andrew’s Junior College (SAJC),11,10,,,Science Society (Girls and Boys),
St. Andrew’s Junior College (SAJC),11,10,,,"Chinese Language, Drama and Debating (Girls and Boys)",
St. Andrew’s Junior College (SAJC),11,10,,,"Indian Language, Drama and Debating (Girls and Boys)",
St. Andrew’s Junior College (SAJC),11,10,,,Community Service (Girls and Boys),
St. Andrew’s Junior College (SAJC),11,10,,,Strategy Games (Girls and Boys),
St. Andrew’s Junior College (SAJC),11,10,,,Student Leadership (Council) (Girls and Boys),
St. Joseph’s Institution (SJI),8,8,Chinese Language Syllabus B,Language Elective Programme - Tamil (TLEP) (Girls and Boys),Shooting (Girls and Boys),Language Elective Programme - Tamil
St. Joseph’s Institution (SJI),8,8,Biology,Chinese Drama (Girls and Boys),Badminton (Girls and Boys),
St. Joseph’s Institution (SJI),8,8,Chemistry,Chinese Orchestra (Girls and Boys),Basketball (Girls and Boys),
St. Joseph’s Institution (SJI),8,8,Chinese Language,Choir (Girls and Boys),Hockey (Girls and Boys),
St. Joseph’s Institution (SJI),8,8,Economics,Concert Band (Girls and Boys),Netball (Girls),
St. Joseph’s Institution (SJI),8,8,General Studies in Chinese,Contemporary Dance (Girls and Boys),Football (Boys),
St. Joseph’s Institution (SJI),8,8,Geography,English Drama (Girls and Boys),Table Tennis (Girls and Boys),
St. Joseph’s Institution (SJI),8,8,General Paper,Guitar Ensemble (Girls and Boys),Tennis (Girls and Boys),
St. Joseph’s Institution (SJI),8,8,History,Indian Dance (Girls and Boys),Taekwondo (Girls and Boys),
St. Joseph’s Institution (SJI),8,8,Literature in English,Science and Technology (Girls and Boys),Volleyball (Girls and Boys),
St. Joseph’s Institution (SJI),8,8,Mathematics,Badminton (Girls and Boys),Touch Rugby (Girls),
St. Joseph’s Institution (SJI),8,8,Malay Language,Basketball (Girls and Boys),Frisbee (Girls and Boys),
St. Joseph’s Institution (SJI),8,8,Physics,Football (Boys),Outdoor Adventure (Girls and Boys),
St. Joseph’s Institution (SJI),8,8,Project Work,Hockey (Girls and Boys),Chinese Orchestra (Girls and Boys),
St. Joseph’s Institution (SJI),8,8,Tamil Language,Netball (Girls),Choir (Girls and Boys),
St. Joseph’s Institution (SJI),8,8,Art,Shooting (Girls and Boys),Guitar Ensemble (Girls and Boys),
St. Joseph’s Institution (SJI),8,8,Chinese Language and Literature,Taekwondo (Girls and Boys),Harmonica Ensemble (Girls and Boys),
St. Joseph’s Institution (SJI),8,8,Further Mathematics,Volleyball (Girls and Boys),Modern Dance (Girls and Boys),
St. Joseph’s Institution (SJI),8,8,Malay Language and Literature,,English Drama (Girls and Boys),
St. Joseph’s Institution (SJI),8,8,Tamil Language and Literature,,Concert Band (Girls and Boys),
St. Joseph’s Institution (SJI),8,8,Smu Game Theory,,Pop and Jazz (Girls and Boys),
St. Joseph’s Institution (SJI),8,8,Ntu Molecular Biology,,Audio Visual Aid (Girls and Boys),
St. Joseph’s Institution (SJI),8,8,Ntu Semiconductor Physics & Devices,,Debating and Public Speaking (Girls and Boys),
St. Joseph’s Institution (SJI),8,8,,,Community Service (First Aid) (Girls and Boys),
St. Joseph’s Institution (SJI),8,8,,,Photography (Girls and Boys),
St. Joseph’s Institution (SJI),8,8,,,Science Society (Girls and Boys),
St. Joseph’s Institution (SJI),8,8,,,"Chinese Language, Drama and Debating (Girls and Boys)",
St. Joseph’s Institution (SJI),8,8,,,"Indian Language, Drama and Debating (Girls and Boys)",
St. Joseph’s Institution (SJI),8,8,,,Community Service (Girls and Boys),
St. Joseph’s Institution (SJI),8,8,,,Strategy Games (Girls and Boys),
St. Joseph’s Institution (SJI),8,8,,,Student Leadership (Council) (Girls and Boys),
Tampines Meridian Junior College (TMJC),13,13,Chinese Language Syllabus B,Language Elective Programme - Tamil (TLEP) (Girls and Boys),Shooting (Girls and Boys),Language Elective Programme - Tamil
Tampines Meridian Junior College (TMJC),13,13,Biology,Chinese Drama (Girls and Boys),Badminton (Girls and Boys),
Tampines Meridian Junior College (TMJC),13,13,Chemistry,Chinese Orchestra (Girls and Boys),Basketball (Girls and Boys),
Tampines Meridian Junior College (TMJC),13,13,Chinese Language,Choir (Girls and Boys),Hockey (Girls and Boys),
Tampines Meridian Junior College (TMJC),13,13,Economics,Concert Band (Girls and Boys),Netball (Girls),
Tampines Meridian Junior College (TMJC),13,13,General Studies in Chinese,Contemporary Dance (Girls and Boys),Football (Boys),
Tampines Meridian Junior College (TMJC),13,13,Geography,English Drama (Girls and Boys),Table Tennis (Girls and Boys),
Tampines Meridian Junior College (TMJC),13,13,General Paper,Guitar Ensemble (Girls and Boys),Tennis (Girls and Boys),
Tampines Meridian Junior College (TMJC),13,13,History,Indian Dance (Girls and Boys),Taekwondo (Girls and Boys),
Tampines Meridian Junior College (TMJC),13,13,Literature in English,Science and Technology (Girls and Boys),Volleyball (Girls and Boys),
Tampines Meridian Junior College (TMJC),13,13,Mathematics,Badminton (Girls and Boys),Touch Rugby (Girls),
Tampines Meridian Junior College (TMJC),13,13,Malay Language,Basketball (Girls and Boys),Frisbee (Girls and Boys),
Tampines Meridian Junior College (TMJC),13,13,Physics,Football (Boys),Outdoor Adventure (Girls and Boys),
Tampines Meridian Junior College (TMJC),13,13,Project Work,Hockey (Girls and Boys),Chinese Orchestra (Girls and Boys),
Tampines Meridian Junior College (TMJC),13,13,Tamil Language,Netball (Girls),Choir (Girls and Boys),
Tampines Meridian Junior College (TMJC),13,13,Art,Shooting (Girls and Boys),Guitar Ensemble (Girls and Boys),
Tampines Meridian Junior College (TMJC),13,13,Chinese Language and Literature,Taekwondo (Girls and Boys),Harmonica Ensemble (Girls and Boys),
Tampines Meridian Junior College (TMJC),13,13,Further Mathematics,Volleyball (Girls and Boys),Modern Dance (Girls and Boys),
Tampines Meridian Junior College (TMJC),13,13,Malay Language and Literature,,English Drama (Girls and Boys),
Tampines Meridian Junior College (TMJC),13,13,Tamil Language and Literature,,Concert Band (Girls and Boys),
Tampines Meridian Junior College (TMJC),13,13,Smu Game Theory,,Pop and Jazz (Girls and Boys),
Tampines Meridian Junior College (TMJC),13,13,Ntu Molecular Biology,,Audio Visual Aid (Girls and Boys),
Tampines Meridian Junior College (TMJC),13,13,Ntu Semiconductor Physics & Devices,,Debating and Public Speaking (Girls and Boys),
Tampines Meridian Junior College (TMJC),13,13,,,Community Service (First Aid) (Girls and Boys),
Tampines Meridian Junior College (TMJC),13,13,,,Photography (Girls and Boys),
Tampines Meridian Junior College (TMJC),13,13,,,Science Society (Girls and Boys),
Tampines Meridian Junior College (TMJC),13,13,,,"Chinese Language, Drama and Debating (Girls and Boys)",
Tampines Meridian Junior College (TMJC),13,13,,,"Indian Language, Drama and Debating (Girls and Boys)",
Tampines Meridian Junior College (TMJC),13,13,,,Community Service (Girls and Boys),
Tampines Meridian Junior College (TMJC),13,13,,,Strategy Games (Girls and Boys),
Tampines Meridian Junior College (TMJC),13,13,,,Student Leadership (Council) (Girls and Boys),
Temasek Junior College (TJC),9,9,Chinese Language Syllabus B,Language Elective Programme - Tamil (TLEP) (Girls and Boys),Shooting (Girls and Boys),Language Elective Programme - Tamil
Temasek Junior College (TJC),9,9,Biology,Chinese Drama (Girls and Boys),Badminton (Girls and Boys),
Temasek Junior College (TJC),9,9,Chemistry,Chinese Orchestra (Girls and Boys),Basketball (Girls and Boys),
Temasek Junior College (TJC),9,9,Chinese Language,Choir (Girls and Boys),Hockey (Girls and Boys),
Temasek Junior College (TJC),9,9,Economics,Concert Band (Girls and Boys),Netball (Girls),
Temasek Junior College (TJC),9,9,General Studies in Chinese,Contemporary Dance (Girls and Boys),Football (Boys),
Temasek Junior College (TJC),9,9,Geography,English Drama (Girls and Boys),Table Tennis (Girls and Boys),
Temasek Junior College (TJC),9,9,General Paper,Guitar Ensemble (Girls and Boys),Tennis (Girls and Boys),
Temasek Junior College (TJC),9,9,History,Indian Dance (Girls and Boys),Taekwondo (Girls and Boys),
Temasek Junior College (TJC),9,9,Literature in English,Science and Technology (Girls and Boys),Volleyball (Girls and Boys),
Temasek Junior College (TJC),9,9,Mathematics,Badminton (Girls and Boys),Touch Rugby (Girls),
Temasek Junior College (TJC),9,9,Malay Language,Basketball (Girls and Boys),Frisbee (Girls and Boys),
Temasek Junior College (TJC),9,9,Physics,Football (Boys),Outdoor Adventure (Girls and Boys),
Temasek Junior College (TJC),9,9,Project Work,Hockey (Girls and Boys),Chinese Orchestra (Girls and Boys),
Temasek Junior College (TJC),9,9,Tamil Language,Netball (Girls),Choir (Girls and Boys),
Temasek Junior College (TJC),9,9,Art,Shooting (Girls and Boys),Guitar Ensemble (Girls and Boys),
Temasek Junior College (TJC),9,9,Chinese Language and Literature,Taekwondo (Girls and Boys),Harmonica Ensemble (Girls and Boys),
Temasek Junior College (TJC),9,9,Further Mathematics,Volleyball (Girls and Boys),Modern Dance (Girls and Boys),
Temasek Junior College (TJC),9,9,Malay Language and Literature,,English Drama (Girls and Boys),
Temasek Junior College (TJC),9,9,Tamil Language and Literature,,Concert Band (Girls and Boys),
Temasek Junior College (TJC),9,9,Smu Game Theory,,Pop and Jazz (Girls and Boys),
Temasek Junior College (TJC),9,9,Ntu Molecular Biology,,Audio Visual Aid (Girls and Boys),
Temasek Junior College (TJC),9,9,Ntu Semiconductor Physics & Devices,,Debating and Public Speaking (Girls and Boys),
Temasek Junior College (TJC),9,9,,,Community Service (First Aid) (Girls and Boys),
Temasek Junior College (TJC),9,9,,,Photography (Girls and Boys),
Temasek Junior College (TJC),9,9,,,Science Society (Girls and Boys),
Temasek Junior College (TJC),9,9,,,"Chinese Language, Drama and Debating (Girls and Boys)",
Temasek Junior College (TJC),9,9,,,"Indian Language, Drama and Debating (Girls and Boys)",
Temasek Junior College (TJC),9,9,,,Community Service (Girls and Boys),
Temasek Junior College (TJC),9,9,,,Strategy Games (Girls and Boys),
Temasek Junior College (TJC),9,9,,,Student Leadership (Council) (Girls and Boys),
Victoria Junior College (VJC),8,7,Chinese Language Syllabus B,Language Elective Programme - Tamil (TLEP) (Girls and Boys),Shooting (Girls and Boys),Language Elective Programme - Tamil
Victoria Junior College (VJC),8,7,Biology,Chinese Drama (Girls and Boys),Badminton (Girls and Boys),
Victoria Junior College (VJC),8,7,Chemistry,Chinese Orchestra (Girls and Boys),Basketball (Girls and Boys),
Victoria Junior College (VJC),8,7,Chinese Language,Choir (Girls and Boys),Hockey (Girls and Boys),
Victoria Junior College (VJC),8,7,Economics,Concert Band (Girls and Boys),Netball (Girls),
Victoria Junior College (VJC),8,7,General Studies in Chinese,Contemporary Dance (Girls and Boys),Football (Boys),
Victoria Junior College (VJC),8,7,Geography,English Drama (Girls and Boys),Table Tennis (Girls and Boys),
Victoria Junior College (VJC),8,7,General Paper,Guitar Ensemble (Girls and Boys),Tennis (Girls and Boys),
Victoria Junior College (VJC),8,7,History,Indian Dance (Girls and Boys),Taekwondo (Girls and Boys),
Victoria Junior College (VJC),8,7,Literature in English,Science and Technology (Girls and Boys),Volleyball (Girls and Boys),
Victoria Junior College (VJC),8,7,Mathematics,Badminton (Girls and Boys),Touch Rugby (Girls),
Victoria Junior College (VJC),8,7,Malay Language,Basketball (Girls and Boys),Frisbee (Girls and Boys),
Victoria Junior College (VJC),8,7,Physics,Football (Boys),Outdoor Adventure (Girls and Boys),
Victoria Junior College (VJC),8,7,Project Work,Hockey (Girls and Boys),Chinese Orchestra (Girls and Boys),
Victoria Junior College (VJC),8,7,Tamil Language,Netball (Girls),Choir (Girls and Boys),
Victoria Junior College (VJC),8,7,Art,Shooting (Girls and Boys),Guitar Ensemble (Girls and Boys),
Victoria Junior College (VJC),8,7,Chinese Language and Literature,Taekwondo (Girls and Boys),Harmonica Ensemble (Girls and Boys),
Victoria Junior College (VJC),8,7,Further Mathematics,Volleyball (Girls and Boys),Modern Dance (Girls and Boys),
Victoria Junior College (VJC),8,7,Malay Language and Literature,,English Drama (Girls and Boys),
Victoria Junior College (VJC),8,7,Tamil Language and Literature,,Concert Band (Girls and Boys),
Victoria Junior College (VJC),8,7,Smu Game Theory,,Pop and Jazz (Girls and Boys),
Victoria Junior College (VJC),8,7,Ntu Molecular Biology,,Audio Visual Aid (Girls and Boys),
Victoria Junior College (VJC),8,7,Ntu Semiconductor Physics & Devices,,Debating and Public Speaking (Girls and Boys),
Victoria Junior College (VJC),8,7,,,Community Service (First Aid) (Girls and Boys),
Victoria Junior College (VJC),8,7,,,Photography (Girls and Boys),
Victoria Junior College (VJC),8,7,,,Science Society (Girls and Boys),
Victoria Junior College (VJC),8,7,,,"Chinese Language, Drama and Debating (Girls and Boys)",
Victoria Junior College (VJC),8,7,,,"Indian Language, Drama and Debating (Girls and Boys)",
Victoria Junior College (VJC),8,7,,,Community Service (Girls and Boys),
Victoria Junior College (VJC),8,7,,,Strategy Games (Girls and Boys),
Victoria Junior College (VJC),8,7,,,Student Leadership (Council) (Girls and Boys),
Yishun Innova Junior College (YIJC),20,20,Chinese Language Syllabus B,Language Elective Programme - Tamil (TLEP) (Girls and Boys),Shooting (Girls and Boys),Language Elective Programme - Tamil
Yishun Innova Junior College (YIJC),20,20,Biology,Chinese Drama (Girls and Boys),Badminton (Girls and Boys),
Yishun Innova Junior College (YIJC),20,20,Chemistry,Chinese Orchestra (Girls and Boys),Basketball (Girls and Boys),
Yishun Innova Junior College (YIJC),20,20,Chinese Language,Choir (Girls and Boys),Hockey (Girls and Boys),
Yishun Innova Junior College (YIJC),20,20,Economics,Concert Band (Girls and Boys),Netball (Girls),
Yishun Innova Junior College (YIJC),20,20,General Studies in Chinese,Contemporary Dance (Girls and Boys),Football (Boys),
Yishun Innova Junior College (YIJC),20,20,Geography,English Drama (Girls and Boys),Table Tennis (Girls and Boys),
Yishun Innova Junior College (YIJC),20,20,General Paper,Guitar Ensemble (Girls and Boys),Tennis (Girls and Boys),
Yishun Innova Junior College (YIJC),20,20,History,Indian Dance (Girls and Boys),Taekwondo (Girls and Boys),
Yishun Innova Junior College (YIJC),20,20,Literature in English,Science and Technology (Girls and Boys),Volleyball (Girls and Boys),
Yishun Innova Junior College (YIJC),20,20,Mathematics,Badminton (Girls and Boys),Touch Rugby (Girls),
Yishun Innova Junior College (YIJC),20,20,Malay Language,Basketball (Girls and Boys),Frisbee (Girls and Boys),
Yishun Innova Junior College (YIJC),20,20,Physics,Football (Boys),Outdoor Adventure (Girls and Boys),
Yishun Innova Junior College (YIJC),20,20,Project Work,Hockey (Girls and Boys),Chinese Orchestra (Girls and Boys),
Yishun Innova Junior College (YIJC),20,20,Tamil Language,Netball (Girls),Choir (Girls and Boys),
Yishun Innova Junior College (YIJC),20,20,Art,Shooting (Girls and Boys),Guitar Ensemble (Girls and Boys),
Yishun Innova Junior College (YIJC),20,20,Chinese Language and Literature,Taekwondo (Girls and Boys),Harmonica Ensemble (Girls and Boys),
Yishun Innova Junior College (YIJC),20,20,Further Mathematics,Volleyball (Girls and Boys),Modern Dance (Girls and Boys),
Yishun Innova Junior College (YIJC),20,20,Malay Language and Literature,,English Drama (Girls and Boys),
Yishun Innova Junior College (YIJC),20,20,Tamil Language and Literature,,Concert Band (Girls and Boys),
Yishun Innova Junior College (YIJC),20,20,Smu Game Theory,,Pop and Jazz (Girls and Boys),
Yishun Innova Junior College (YIJC),20,20,Ntu Molecular Biology,,Audio Visual Aid (Girls and Boys),
Yishun Innova Junior College (YIJC),20,20,Ntu Semiconductor Physics & Devices,,Debating and Public Speaking (Girls and Boys),
